month,day,year,tempF,season,tempC
12,25,1995,32.2,Winter,0.111111111
12,26,1995,31.7,Winter,-0.166666667
12,27,1995,28.1,Winter,-2.166666667
12,28,1995,31.9,Winter,-0.055555556
12,29,1995,32.9,Winter,0.5
12,30,1995,35.8,Winter,2.111111111
12,31,1995,39,Winter,3.888888889
1,1,1996,38.6,Winter,3.666666667
1,2,1996,35.9,Winter,2.166666667
1,3,1996,28.8,Winter,-1.777777778
1,4,1996,20.8,Winter,-6.222222222
1,5,1996,23.1,Winter,-4.944444444
1,6,1996,14.1,Winter,-9.944444444
1,7,1996,16.6,Winter,-8.555555556
1,8,1996,21.4,Winter,-5.888888889
1,9,1996,24.2,Winter,-4.333333333
1,10,1996,27.1,Winter,-2.722222222
1,11,1996,24.1,Winter,-4.388888889
1,12,1996,28.1,Winter,-2.166666667
1,13,1996,34.3,Winter,1.277777778
1,14,1996,36.7,Winter,2.611111111
1,15,1996,38.7,Winter,3.722222222
1,16,1996,24.4,Winter,-4.222222222
1,17,1996,38.3,Winter,3.5
1,18,1996,36.3,Winter,2.388888889
1,19,1996,51,Winter,10.55555556
1,20,1996,29.8,Winter,-1.222222222
1,21,1996,29.9,Winter,-1.166666667
1,22,1996,34.6,Winter,1.444444444
1,23,1996,38.7,Winter,3.722222222
1,24,1996,44.9,Winter,7.166666667
1,25,1996,36,Winter,2.222222222
1,26,1996,31.5,Winter,-0.277777778
1,27,1996,48.6,Winter,9.222222222
1,28,1996,34.6,Winter,1.444444444
1,29,1996,32.2,Winter,0.111111111
1,30,1996,39.6,Winter,4.222222222
1,31,1996,31.5,Winter,-0.277777778
2,1,1996,21.7,Winter,-5.722222222
2,2,1996,27.6,Winter,-2.444444444
2,3,1996,19.2,Winter,-7.111111111
2,4,1996,14.6,Winter,-9.666666667
2,5,1996,13.8,Winter,-10.11111111
2,6,1996,20.2,Winter,-6.555555556
2,7,1996,28,Winter,-2.222222222
2,8,1996,35.9,Winter,2.166666667
2,9,1996,42.6,Winter,5.888888889
2,10,1996,42.3,Winter,5.722222222
2,11,1996,44.7,Winter,7.055555556
2,12,1996,31.9,Winter,-0.055555556
2,13,1996,18.3,Winter,-7.611111111
2,14,1996,32.3,Winter,0.166666667
2,15,1996,32.4,Winter,0.222222222
2,16,1996,28.4,Winter,-2
2,17,1996,26.8,Winter,-2.888888889
2,18,1996,29.7,Winter,-1.277777778
2,19,1996,28.9,Winter,-1.722222222
2,20,1996,43.8,Winter,6.555555556
2,21,1996,48.7,Winter,9.277777778
2,22,1996,47,Winter,8.333333333
2,23,1996,47.1,Winter,8.388888889
2,24,1996,49,Winter,9.444444444
2,25,1996,53.5,Winter,11.94444444
2,26,1996,52.7,Winter,11.5
2,27,1996,47.2,Winter,8.444444444
2,28,1996,48.9,Winter,9.388888889
2,29,1996,33.1,Winter,0.611111111
3,1,1996,29.2,Winter,-1.555555556
3,2,1996,33,Winter,0.555555556
3,3,1996,33,Winter,0.555555556
3,4,1996,26.4,Winter,-3.111111111
3,5,1996,43.2,Winter,6.222222222
3,6,1996,43.4,Winter,6.333333333
3,7,1996,33.7,Winter,0.944444444
3,8,1996,24.6,Winter,-4.111111111
3,9,1996,19.7,Winter,-6.833333333
3,10,1996,25.2,Winter,-3.777777778
3,11,1996,32,Winter,0
3,12,1996,39.9,Winter,4.388888889
3,13,1996,46.1,Winter,7.833333333
3,14,1996,51.8,Winter,11
3,15,1996,51.6,Winter,10.88888889
3,16,1996,43,Winter,6.111111111
3,17,1996,41.1,Winter,5.055555556
3,18,1996,47.5,Winter,8.611111111
3,19,1996,42.5,Winter,5.833333333
3,20,1996,44.3,Spring,6.833333333
3,21,1996,42.9,Spring,6.055555556
3,22,1996,39.8,Spring,4.333333333
3,23,1996,37.4,Spring,3
3,24,1996,41.6,Spring,5.333333333
3,25,1996,48.9,Spring,9.388888889
3,26,1996,53.4,Spring,11.88888889
3,27,1996,38.8,Spring,3.777777778
3,28,1996,36.5,Spring,2.5
3,29,1996,35.7,Spring,2.055555556
3,30,1996,45.1,Spring,7.277777778
3,31,1996,47.1,Spring,8.388888889
4,1,1996,46.9,Spring,8.277777778
4,2,1996,46.9,Spring,8.277777778
4,3,1996,46.5,Spring,8.055555556
4,4,1996,47.9,Spring,8.833333333
4,5,1996,44.2,Spring,6.777777778
4,6,1996,47.3,Spring,8.5
4,7,1996,41,Spring,5
4,8,1996,39.2,Spring,4
